timestamp,count,image_path
2023-06-26 15:48:18,9,crowd_counting/backup/20230626154818.jpg
2023-06-26 15:49:53,6,crowd_counting/backup/20230626154953.jpg
2023-06-26 15:50:23,7,crowd_counting/backup/20230626155023.jpg
2023-06-26 15:50:53,4,crowd_counting/backup/20230626155053.jpg
2023-06-26 15:51:23,4,crowd_counting/backup/20230626155123.jpg
2023-06-26 15:53:23,8,crowd_counting/backup/20230626155323.jpg
2023-06-26 15:53:58,6,crowd_counting/backup/20230626155358.jpg
2023-06-26 15:54:33,7,crowd_counting/backup/20230626155433.jpg
2023-06-26 15:58:09,7,crowd_counting/backup/20230626155809.jpg
2023-06-26 16:03:56,0,crowd_counting/backup/20230626160356.jpg
2023-06-26 16:04:26,0,crowd_counting/backup/20230626160426.jpg
2023-06-26 16:04:56,2,crowd_counting/backup/20230626160456.jpg
